	callSign	lat	lon	maiden	freq	qso_date	mode	mylat	mylon
0	W9YB	40.416666666666664	-86.91666666666667	EN60nk	7.26	20211022	SSB	40.083333333333336	-77.08333333333333
1	N2PYH	43.125	-76.33333333333333	FN13ud	7.236	20211022	SSB	40.083333333333336	-77.08333333333333
2	WB4HS	37.25	-79.91666666666667	FM07bg	7.225	20211022	SSB	40.083333333333336	-77.08333333333333
3	K8LPS	40.875	-80.75	EN90pv	7.26	20211020	SSB	40.083333333333336	-77.08333333333333
4	OE130KUK	48.416666666666664	15.916666666666666	JN78xk	14.264	20211011	SSB	40.083333333333336	-77.08333333333333
5	K6M	41.625	-121.33333333333333	CN91ip	14.292	20211003	SSB	40.083333333333336	-77.08333333333333
6	K6SZQ	38.458333333333336	-120.75	CM98pl	14.292	20211003	SSB	40.083333333333336	-77.08333333333333
7	WA5KBH	30.333333333333332	-93.25	EM30ji	14.292	20211003	SSB	40.083333333333336	-77.08333333333333
8	VE3KZE	44.375	-77.75	FN14dj	7.268	20211001	SSB	40.083333333333336	-77.08333333333333
9	NZ1J	41.375	-72.83333333333333	FN31oj	7.24	20211001	SSB	40.083333333333336	-77.08333333333333
10	KC1NQE	41.541666666666664	-72.83333333333333	FN31on	7.24	20211001	SSB	40.083333333333336	-77.08333333333333
11	KD4MM	38.75	-77.25	FM18js	7.261	20211001	SSB	40.083333333333336	-77.08333333333333
12	NT8B	38.875	-77.25	FM18jv	7.261	20211001	SSB	40.083333333333336	-77.08333333333333
13	AF1K	41.166666666666664	-81.5	EN91ge	7.255	20210930	SSB	40.083333333333336	-77.08333333333333
14	KC3BHI	40.75	-77.83333333333333	FN10cs	7.185	20210927	SSB	40.083333333333336	-77.08333333333333
15	WB8ERJ	40.666666666666664	-82.5	EN80sq	7.184	20210924	SSB	40.083333333333336	-77.08333333333333
16	F6HQP	45.541666666666664	5.833333333333333	JN25wn	14.28	20210924	SSB	40.083333333333336	-77.08333333333333
17	HA5JI	46.416666666666664	19.5	JN96sk	14.318	20210924	SSB	40.083333333333336	-77.08333333333333
18	KI5JMO/VO1	29.541666666666668	-95.75	EL29dn	14.245	20210921	SSB	40.083333333333336	-77.08333333333333
19	KB9VBR	44.958333333333336	-89.66666666666667	EN54ex	7.231	20210910	SSB	40.083333333333336	-77.08333333333333
20	NC4XL	34.958333333333336	-79.0	FM04mx	7.188	20210910	SSB	40.083333333333336	-77.08333333333333
21	KN4XP	35.0	-78.75	FM05pa	7.188	20210910	SSB	40.083333333333336	-77.08333333333333
22	OE8NDR	46.625	14.666666666666666	JN76ip	14.295	20210908	SSB	40.083333333333336	-77.08333333333333
23	KO4EPX	34.458333333333336	-83.75	EM84dl	14.317	20210701	SSB	40.083333333333336	-77.08333333333333
24	VE3NIG	44.333333333333336	-76.16666666666667	FN14wi	14.317	20210701	SSB	40.083333333333336	-77.08333333333333
25	KC1YL	27.833333333333332	-82.83333333333333	EL87ou	14.317	20210701	SSB	40.083333333333336	-77.08333333333333
26	W9DXM	33.166666666666664	-96.75	EM13pe	14.317	20210701	SSB	40.083333333333336	-77.08333333333333
27	VE3LDT	43.0	-81.25	EN93ja	14.317	20210701	SSB	40.083333333333336	-77.08333333333333
28	KC1AEO	42.166666666666664	-72.58333333333333	FN32re	14.317	20210701	SSB	40.083333333333336	-77.08333333333333
29	K9DVP	40.833333333333336	-90.91666666666667	EN40nu	14.317	20210701	SSB	40.083333333333336	-77.08333333333333
30	W8JES	41.0	-84.0	EN81	14.317	20210701	SSB	40.083333333333336	-77.08333333333333
31	N3XLS	41.541666666666664	-75.75	FN21dn	14.317	20210701	SSB	40.083333333333336	-77.08333333333333
32	KE8PQC	42.166666666666664	-85.83333333333333	EN72ce	14.317	20210701	SSB	40.083333333333336	-77.08333333333333
33	W8DRP	39.291666666666664	-84.33333333333333	EM79uh	14.317	20210701	SSB	40.083333333333336	-77.08333333333333
34	WS4S	36.166666666666664	-85.5	EM76ge	14.317	20210701	SSB	40.083333333333336	-77.08333333333333
35	KX4BI	34.916666666666664	-87.5	EM64gw	14.317	20210701	SSB	40.083333333333336	-77.08333333333333
36	KC5F	35.25	-82.41666666666667	EM85tg	14.317	20210701	SSB	40.083333333333336	-77.08333333333333
37	K9JDM	42.0	-88.16666666666667	EN52wa	14.317	20210701	SSB	40.083333333333336	-77.08333333333333
38	K9ICP	39.583333333333336	-86.16666666666667	EM69wo	14.317	20210701	SSB	40.083333333333336	-77.08333333333333
39	NK5J	28.041666666666668	-97.08333333333333	EL18lb	14.317	20210701	SSB	40.083333333333336	-77.08333333333333
40	K2EDW	43.208333333333336	-78.41666666666667	FN03tf	14.317	20210701	SSB	40.083333333333336	-77.08333333333333
41	KC1NDQ	41.708333333333336	-71.25	FN41jr	14.317	20210701	SSB	40.083333333333336	-77.08333333333333
42	WV1W	41.0	-74.0	FN31	14.317	20210701	SSB	40.083333333333336	-77.08333333333333
43	N4CWB	34.291666666666664	-82.41666666666667	EM84th	14.317	20210701	SSB	40.083333333333336	-77.08333333333333
44	K3QQN	36.791666666666664	-76.16666666666667	FM16wt	14.317	20210701	SSB	40.083333333333336	-77.08333333333333
45	W9MXC	38.0	-92.0	EM48	14.317	20210701	SSB	40.083333333333336	-77.08333333333333
46	N8ROD	40.333333333333336	-84.0	EN80ai	14.317	20210701	SSB	40.083333333333336	-77.08333333333333
47	KG4LMW	35.958333333333336	-84.0	EM85ax	14.317	20210701	SSB	40.083333333333336	-77.08333333333333
48	KE1VT	44.0	-73.16666666666667	FN34ka	14.317	20210701	SSB	40.083333333333336	-77.08333333333333
49	KB1EF	46.708333333333336	-67.83333333333333	FN66cr	14.317	20210701	SSB	40.083333333333336	-77.08333333333333
50	N4TLC	36.0	-80.0	FM06aa	14.317	20210701	SSB	40.083333333333336	-77.08333333333333
51	K0SAU	41.5	-90.58333333333333	EN41rm	14.317	20210701	SSB	40.083333333333336	-77.08333333333333
52	N4DUB	35.958333333333336	-79.75	FM05dx	14.317	20210701	SSB	40.083333333333336	-77.08333333333333
53	KC1CBQ	41.916666666666664	-71.25	FN41jw	14.264	20210628	SSB	40.083333333333336	-77.08333333333333
54	KN4XP	35.0	-78.75	FM05pa	7.195	20210628	SSB	40.083333333333336	-77.08333333333333
55	KC2VAW	42.291666666666664	-77.16666666666667	FN12kh	7.245	20210628	SSB	40.083333333333336	-77.08333333333333
56	S51DX	45.958333333333336	14.25	JN75dx	14.2369	20210604	SSB	40.083333333333336	-77.08333333333333
57	W4FDT	34.541666666666664	-85.33333333333333	EM74in	7.283	20210224	SSB	40.083333333333336	-77.08333333333333
58	K4NYM	28.083333333333332	-81.83333333333333	EL98cc	14.346	20210214	SSB	40.083333333333336	-77.08333333333333
59	N4ESU	40.625	-74.08333333333333	FN20xp	7.268	20210214	SSB	40.083333333333336	-77.08333333333333
60	KD3D	42.083333333333336	-80.16666666666667	EN92wc	7.2681	20210214	SSB	40.083333333333336	-77.08333333333333
61	N4UM	27.625	-80.5	EL97sp	14.31	20210209	SSB	40.083333333333336	-77.08333333333333
62	KW4FM	37.291666666666664	-80.08333333333333	EM97xh	7.195	20210209	SSB	40.083333333333336	-77.08333333333333
63	AE5EO	29.833333333333332	-94.91666666666667	EL29nu	14.314	20210209	SSB	40.083333333333336	-77.08333333333333
64	W4JL	35.5	-81.58333333333333	EM95fm	7.194	20210209	SSB	40.083333333333336	-77.08333333333333
65	KE4Q	27.041666666666668	-82.25	EL87vb	14.322	20201228	SSB	40.083333333333336	-77.08333333333333
66	WB8ERJ	40.666666666666664	-82.5	EN80sq	7.182	20201228	SSB	40.083333333333336	-77.08333333333333
67	N8NK	43.125	-83.75	EN83dd	7.278	20201203	SSB	40.083333333333336	-77.08333333333333
68	K8A	32.291666666666664	-86.16666666666667	EM62wh	7.2	20201203	SSB	40.083333333333336	-77.08333333333333
69	WB4WTN	33.875	-84.0	EM83av	7.212	20201203	SSB	40.083333333333336	-77.08333333333333
70	K2DW	42.791666666666664	-73.91666666666667	FN32bt	7.215	20201129	SSB	40.083333333333336	-77.08333333333333
71	N3LOU	39.083333333333336	-75.58333333333333	FM29fc	3.856	20201116	SSB	40.083333333333336	-77.08333333333333
72	WB8ERJ	40.666666666666664	-82.5	EN80sq	7.1849	20201116	SSB	40.083333333333336	-77.08333333333333
73	KK4JS	32.916666666666664	-80.16666666666667	EM92ww	7.263	20201107	SSB	40.083333333333336	-77.08333333333333
74	KN4AGJ	34.75	-80.41666666666667	EM94ts	7.278	20201106	SSB	40.083333333333336	-77.08333333333333
75	AC4SH	33.875	-83.41666666666667	EM83hv	7.218	20201106	SSB	40.083333333333336	-77.08333333333333
76	K4NYM	28.083333333333332	-81.83333333333333	EL98cc	14.267	20201103	SSB	40.083333333333336	-77.08333333333333
77	OK7K	50.291666666666664	14.25	JO70dh	14.3259	20201024	SSB	40.083333333333336	-77.08333333333333
78	DL2ARD	50.666666666666664	12.25	JO60dq	14.292	20201024	SSB	40.083333333333336	-77.08333333333333
79	OM2Y	48.25	17.25	JN88pg	14.283	20201024	SSB	40.083333333333336	-77.08333333333333
80	HA3DX	46.583333333333336	18.75	JN96jo	14.2784	20201024	SSB	40.083333333333336	-77.08333333333333
81	P40W	12.416666666666666	-69.91666666666667	FK52bk	21.3708	20201024	SSB	40.083333333333336	-77.08333333333333
82	CQ3W	32.0	-18.0	IM12	21.3509	20201024	SSB	40.083333333333336	-77.08333333333333
83	EA5DFV	38.75	0.0	JM08as	21.3465	20201024	SSB	40.083333333333336	-77.08333333333333
84	IQ6AN	43.583333333333336	13.5	JN63so	21.32	20201024	SSB	40.083333333333336	-77.08333333333333
85	EA1X	43.416666666666664	-8.25	IN53vk	21.3099	20201024	SSB	40.083333333333336	-77.08333333333333
86	WP3TT	40.833333333333336	-74.41666666666667	FN20tu	21.4274	20201024	SSB	40.083333333333336	-77.08333333333333
87	EB5A	37.958333333333336	-0.6666666666666667	IM97qx	21.3929	20201024	SSB	40.083333333333336	-77.08333333333333
88	CT1BOL	41.125	-8.666666666666666	IN51qd	21.3879	20201024	SSB	40.083333333333336	-77.08333333333333
89	EC2DX	43.75	-2.083333333333333	IN83xs	21.3838	20201024	SSB	40.083333333333336	-77.08333333333333
90	OM3BH	49.166666666666664	18.5	JN99ge	21.3731	20201024	SSB	40.083333333333336	-77.08333333333333
91	G5W	52.458333333333336	-2.916666666666667	IO82nl	21.3682	20201024	SSB	40.083333333333336	-77.08333333333333
92	EI8IU	53.958333333333336	-7.833333333333333	IO63cx	21.3649	20201024	SSB	40.083333333333336	-77.08333333333333
93	HG3N	46.791666666666664	18.083333333333332	JN96bt	14.328	20201024	SSB	40.083333333333336	-77.08333333333333
94	EA2W	43.291666666666664	-2.083333333333333	IN83xh	21.322	20201024	SSB	40.083333333333336	-77.08333333333333
95	K4WTL	29.625	-82.33333333333333	EL89up	14.276	20201023	SSB	40.083333333333336	-77.08333333333333
96	W1FYG	41.25	-72.5	FN31sg	7.245	20201023	SSB	40.083333333333336	-77.08333333333333
97	AC4SH	33.875	-83.41666666666667	EM83hv	7.272	20201022	SSB	40.083333333333336	-77.08333333333333
98	WA8DE	40.0	-84.08333333333333	EN70xa	7.237	20201021	SSB	40.083333333333336	-77.08333333333333
99	WV1W	41.0	-74.0	FN31	7.214	20201021	SSB	40.083333333333336	-77.08333333333333
100	W1FYG	41.25	-72.5	FN31sg	7.21	20201021	SSB	40.083333333333336	-77.08333333333333
101	RG2A	55.666666666666664	37.666666666666664	KO85uq	14.3181	20201017	SSB	40.083333333333336	-77.08333333333333
102	W8APS	42.0	-84.0	EN82	7.24	20200925	SSB	40.083333333333336	-77.08333333333333
103	W8RF	41.0	-84.0	EN81	7.188	20200923	SSB	40.083333333333336	-77.08333333333333
104	W4CHF	31.833333333333332	-81.66666666666667	EM91eu	7.207	20200918	SSB	40.083333333333336	-77.08333333333333
105	KA3MTT	39.0	-86.0	EM79	7.273	20200911	SSB	40.083333333333336	-77.08333333333333
106	WB8CPG	41.166666666666664	-81.0	EN91me	7.204	20200911	SSB	40.083333333333336	-77.08333333333333
107	S51DX	45.958333333333336	14.25	JN75dx	14.235	20200829	SSB	40.083333333333336	-77.08333333333333
108	VE2MAM	45.416666666666664	-75.83333333333333	FN25ck	7.198	20200829	SSB	40.083333333333336	-77.08333333333333
109	W8JES	41.0	-84.0	EN81	7.244	20200829	SSB	40.083333333333336	-77.08333333333333
110	KN4FYW	35.0	-82.0	EM95	7.187	20200829	SSB	40.083333333333336	-77.08333333333333
111	VE3ZN	45.5	-76.66666666666667	FN15qm	7.188	20200826	SSB	40.083333333333336	-77.08333333333333
112	W9IMS	39.833333333333336	-86.16666666666667	EM69wu	7.255	20200824	SSB	40.083333333333336	-77.08333333333333
113	K3MTO	26.958333333333332	-80.33333333333333	EL96ux	7.207	20200824	SSB	40.083333333333336	-77.08333333333333
114	W9MXC	38.0	-92.0	EM48	14.315	20200821	SSB	40.083333333333336	-77.08333333333333
115	K5MPG	35.0	-82.0	EM95	14.252	20200804	SSB	40.083333333333336	-77.08333333333333
116	WV1W	41.0	-74.0	FN31	7.184	20200804	SSB	40.083333333333336	-77.08333333333333
117	W3AAX	39.0	-78.0	FM19	3.929	20200731	SSB	40.083333333333336	-77.08333333333333
118	W1IP	41.0	-74.0	FN31	7.263	20200731	SSB	40.083333333333336	-77.08333333333333
119	W4JL	35.5	-81.58333333333333	EM95fm	7.188	20200731	SSB	40.083333333333336	-77.08333333333333
120	N4FLG	26.833333333333332	-82.0	EL96au	14.252	20200731	SSB	40.083333333333336	-77.08333333333333
121	W1VW	28.0	-82.0	EL98	7.183	20200731	SSB	40.083333333333336	-77.08333333333333
122	KE4GTQ	35.0	-82.0	EM95	7.18	20200729	SSB	40.083333333333336	-77.08333333333333
123	S52WW	45.875	14.166666666666666	JN75cv	14.26	20200724	SSB	40.083333333333336	-77.08333333333333
124	WB0SMF	38.0	-92.0	EM48	7.23	20200724	SSB	40.083333333333336	-77.08333333333333
125	N1UI	42.0	-84.0	EN82	7.215	20200723	SSB	40.083333333333336	-77.08333333333333
126	K4BSC	34.958333333333336	-81.08333333333333	EM94lx	7.276	20200721	SSB	40.083333333333336	-77.08333333333333
127	KL4SS	61.0	-150.0	BP51	7.283	20200628	SSB	40.083333333333336	-77.08333333333333
128	N3PF	41.0	-76.0	FN21	7.269	20200628	SSB	40.083333333333336	-77.08333333333333
129	W1NVT	44.0	-74.0	FN34	7.208	20200628	SSB	40.083333333333336	-77.08333333333333
130	K3DQB	39.0	-78.0	FM19	146.55	20200627	FM	40.083333333333336	-77.08333333333333
131	KB3WAV	39.458333333333336	-77.16666666666667	FM19kl	7.188	20200622	SSB	40.083333333333336	-77.08333333333333
132	WB2SMK	42.75	-73.91666666666667	FN32bs	7.074	20200622	SSB	40.083333333333336	-77.08333333333333
133	KC1CBQ	41.916666666666664	-71.25	FN41jw	7.238	20200613	SSB	40.083333333333336	-77.08333333333333
134	W8MSC	42.458333333333336	-83.66666666666667	EN82el	7.203	20200613	SSB	40.083333333333336	-77.08333333333333
135	KB2RUV	39.75	-74.25	FM29vs	7.198	20200613	SSB	40.083333333333336	-77.08333333333333
136	KN4HPJ	35.083333333333336	-79.5	FM05gc	7.22	20200612	SSB	40.083333333333336	-77.08333333333333
137	KU8T	41.0	-85.33333333333333	EN71ia	7.196	20200604	SSB	40.083333333333336	-77.08333333333333
138	KN4SNI	35.375	-79.33333333333333	FM05ij	7.188	20200604	SSB	40.083333333333336	-77.08333333333333
139	W4JL	35.5	-81.58333333333333	EM95fm	7.188	20200518	SSB	40.083333333333336	-77.08333333333333
140	KC2JDR	40.0	-74.83333333333333	FN20oa	7.225	20200518	SSB	40.083333333333336	-77.08333333333333
141	N1QL	41.75	-71.5	FN41gs	14.336	20200517	SSB	40.083333333333336	-77.08333333333333
142	NA1KW	39.666666666666664	-91.41666666666667	EM49hq	7.278	20200517	SSB	40.083333333333336	-77.08333333333333
143	K8PWR	39.875	-83.0	EM89mv	7.228	20200516	SSB	40.083333333333336	-77.08333333333333
144	W8BI	39.833333333333336	-84.16666666666667	EM79wu	7.248	20200516	SSB	40.083333333333336	-77.08333333333333
